"Name","Level","Age","RW hits Average","Total","Speed","Strength","Defense","Dexterity","Spy Date","Xanax Total","Xanax Avg","Total Time Active","Time Active Raw","TIme Active Recent","Time Active Recent Raw","Refill Total","Refill Diff"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=1423268"", ""corpheus [1423268]"")","64","4971","0","1418124","49101","1327472","37077","4474","2023-06-26T22:00:00.000Z","809","2.83","79 days 2 hours ","6832941","4 days 23 hours ","431037","537","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=1618089"", ""D-GenerationX [1618089]"")","100","4280","0","900100125","282062764","311201517","104111255","202724589","2018-06-19T22:00:00.000Z","2,863","1.53","84 days 7 hours ","7285192","22 hours 16 minutes ","80197","1,203","21"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=1783454"", ""Kontkriebel [1783454]"")","100","3694","0","24593508501","2115602260","3742163688","2000000430","16735742123","2023-08-11T22:00:00.000Z","6,806","2.2","318 days 11 hours ","27516530","1 day 1 hour ","90281","2,680","30"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=1858750"", ""kin0 [1858750]"")","70","3417","0","","","","","","undefined","1,192","2.67","33 days 23 hours ","2936948","1 day 21 hours ","163119","709","30"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=1989091"", ""Augur [1989091]"")","100","2772","0","2599137090","634979119","1002212297","718232284","243713390","2021-12-17T23:00:00.000Z","4,265","2.03","133 days 10 hours ","11529189","14 hours 23 minutes ","51829","1,843","30"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2021373"", ""SoberRage39thX [2021373]"")","100","2600","0","2001964587","601725561","501088653","494702755","404447618","2020-06-29T22:00:00.000Z","4,849","1.97","152 days 4 hours ","13149965","20 hours 21 minutes ","73293","1,827","27"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2029519"", ""JDWV [2029519]"")","80","2558","0","","","","","","undefined","1,701","2.7","100 days 13 hours ","8687268","5 days 20 hours ","505994","540","30"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2040537"", ""Nucifer [2040537]"")","100","2497","0","","","","","","undefined","2,841","2.73","64 days 14 hours ","5580538","2 days 6 hours ","195808","306","14"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2040908"", ""GodsBalls [2040908]"")","94","2494","0","","","","","","undefined","2,276","2.6","58 days 2 hours ","5021656","2 days 9 hours ","207026","714","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2057854"", ""Lord_OFlame [2057854]"")","100","2406","0","","","","","","undefined","3,461","2.87","142 days 22 hours ","12349825","3 days 7 hours ","286613","1,201","27"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2124037"", ""Caffiend [2124037]"")","98","2009","0","","","","","","undefined","3,293","2","110 days 13 hours ","9552723","16 hours 52 minutes ","60768","1,066","26"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2165800"", ""Sliveruk [2165800]"")","96","1896","0","","","","","","undefined","2,877","2.1","76 days 1 hour ","6570269","1 day ","88466","273","19"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2175802"", ""SpARkS42069 [2175802]"")","100","1863","0","1436571746","404546296","408023471","377300","623624679","2022-08-09T22:00:00.000Z","3,639","2.07","272 days 14 hours ","23553249","1 day 20 hours ","160362","1,106","17"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2236437"", ""ScottieMac [2236437]"")","99","1747","0","","","","","","undefined","3,918","2.8","123 days 19 hours ","10696536","2 days 15 hours ","229820","1,267","30"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2289357"", ""Grubbzie [2289357]"")","69","1661","0","","","","","","undefined","2,307","2.13","28 days 22 hours ","2500341","10 hours 31 minutes ","37871","455","12"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2317479"", ""Kingpinconnor [2317479]"")","79","1625","0","","","","","","undefined","1,197","2.3","106 days 10 hours ","9194563","2 days 2 hours ","183180","690","29"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2333247"", ""gpenney736 [2333247]"")","91","1598","0","","","","","","undefined","3,348","2.43","131 days 17 hours ","11382839","2 days 3 hours ","186147","1,075","30"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2357205"", ""Huge_potat0 [2357205]"")","55","1555","0","","","","","","undefined","1,231","1.63","70 days 19 hours ","6117298","19 hours 39 minutes ","70786","320","19"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2455549"", ""Tattie [2455549]"")","99","1414","0","","","","","","undefined","2,996","3.07","119 days 1 hour ","10287585","2 days 6 hours ","196266","1,001","28"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2463973"", ""GreenWall [2463973]"")","88","1402","0","","","","","","undefined","2,617","2.6","81 days 21 hours ","7075074","1 day 4 hours ","102038","836","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2490179"", ""alnajm [2490179]"")","80","1371","0","","","","","","undefined","1,982","2.1","30 days 19 hours ","2663168","13 hours 10 minutes ","47417","636","25"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2500157"", ""Crapitycrap [2500157]"")","80","1359","0","1832506343","233594820","300516061","793802195","504593267","2022-09-26T22:00:00.000Z","2,818","2.93","71 days 12 hours ","6180134","1 day 5 hours ","106071","1,117","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2522357"", ""Solus-AC [2522357]"")","87","1321","0","903775153","250167744","360866727","142514019","150226663","2023-01-30T23:00:00.000Z","2,513","2.5","45 days 9 hours ","3923396","1 day 4 hours ","101211","576","29"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2530354"", ""ChloeChloe [2530354]"")","95","1311","0","","","","","","undefined","3,413","2.87","102 days 13 hours ","8862791","3 days 22 hours ","338582","1,234","32"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2587824"", ""vonPadre [2587824]"")","75","1220","0","","","","","","undefined","2,187","1.7","141 days 11 hours ","12222707","4 days 18 hours ","412903","828","29"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2603254"", ""knifecat101 [2603254]"")","82","1165","0","","","","","","undefined","2,760","2.67","23 days ","1988249","12 hours 1 minute ","43270","896","32"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2619860"", ""skmoonlight [2619860]"")","92","1105","0","1333887824","100028209","272133755","4714483","957011377","2022-03-27T22:00:00.000Z","1,745","2.5","120 days 5 hours ","10387805","5 days 16 hours ","489961","686","32"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2668014"", ""BuckBusta [2668014]"")","41","968","0","14124449","3445860","3744510","3457460","3476619","2023-01-16T23:00:00.000Z","1,845","2.6","29 days 20 hours ","2579112","1 day 11 hours ","128947","332","32"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2748401"", ""Shaisia [2748401]"")","62","667","0","","","","","","undefined","928","1.53","31 days 17 hours ","2740193","8 hours 51 minutes ","31898","410","29"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2774660"", ""Tatakae [2774660]"")","35","558","0","","","","","","undefined","515","2.83","38 days 3 hours ","3295104","2 days 18 hours ","240953","105","30"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2900769"", ""Gadd [2900769]"")","55","232","0","","","","","","undefined","632","2.9","15 days 18 hours ","1361676","2 days 4 hours ","189480","194","31"
